Number,Color,Calories ,Spice,Cost,Ingredients ,State
1,Green,10,Medium,4.49,Tomatillo ,Out of Country 
2,Green,40,Hot,5.49,Habanero ,Texas
3,Green,10,Hot,3.49,Jalapeño ,Texas
4,Red,10,Medium,5.49,Tomato,Texas 
5,Red,15,Medium,2.5,Black Bean & Corn,California 
6,Red,10,Medium,5.49,Ginger & Thai Chili,Colorado 
7,Red,5,Medium,4.99,Chimayó Chili,New Mexico 
8,Red,10,Medium,2.59,Tomato ,Texas
9,Red,5,Hot,4.49,Chipotle ,New Mexico 
10,Red,10,Mild,3.99,Tomato ,New Mexico
11,Red,10,Medium,3.99,Tomato ,Texas
12,Red,5,Medium,3.69,Tomato ,New Mexico
13,Red,10,Medium,2.29,Tomato ,California 
14,Red,10,Medium,3.79,Tomato ,Ohio
15,Red,20,Sweet,4.49,Peach,New Mexico 
16,Red,10,Medium,3.99,Tomato ,Texas
17,Red,10,Medium,4.79,Cilantro & Lime,New Mexico
18,Green,10,Medium,2.69,Tomatillo ,California 
19,Red,15,Medium,3.49,Mango Habanero ,Texas
20,Red,15,Medium,4.99,"Chipotle , Tomatillos , & Coffee",Texas